a0410b,a0410c,a0410d,a0410e,a0410f,a0502a,a0502c,a0502d,a0410a,a0404,a0405aa,a0405b,a0406,A0408A,A0408B,A0408C,A0408D,A0408E,a0409,a0409a,a0405m,a0405a,edad,sexo
2,2,2,1,1,1,2,2,2,2,0,0,1,1,0,0,0,0,3,1,0,0,53,1
2,2,2,2,2,2,2,2,2,1,2,0,0,1,0,0,0,0,3,1,2,30,65,2
2,2,2,2,2,2,2,2,2,1,2,0,0,5,0,0,0,0,2,50,0,15,70,1
2,1,2,2,2,1,1,2,1,1,2,0,12,5,0,0,0,0,3,1,0,29,63,1
2,2,2,2,2,2,2,2,2,1,2,0,12,1,0,0,0,0,3,12,0,25,70,2
2,2,2,2,2,2,2,2,2,1,1,1,12,5,0,0,0,0,4,12,0,5,66,2
2,2,1,2,2,2,2,2,2,1,2,0,12,1,2,0,0,0,3,1,10,10,62,1
2,2,2,2,2,2,2,2,2,1,2,0,0,5,0,0,0,0,3,1,0,11,61,1
2,2,2,2,2,2,2,2,2,1,2,0,3,5,0,0,0,0,4,3,0,26,76,2
2,2,2,2,2,2,2,2,2,2,0,0,0,5,0,0,0,0,5,0,0,0,30,2
2,2,2,2,2,2,2,2,2,1,2,0,11,5,0,0,0,0,3,11,0,25,56,2
2,2,2,2,2,2,2,2,2,1,2,0,11,1,3,0,0,0,3,12,6,10,47,2
2,2,2,2,2,2,2,2,1,1,2,0,6,1,3,0,0,0,3,2,0,31,67,2
2,2,2,2,2,2,2,2,1,1,1,1,0,1,0,0,0,0,4,3,0,18,75,2
2,2,2,2,2,2,2,2,2,2,0,0,0,1,2,3,0,0,2,3,0,0,60,1
2,2,2,2,2,2,2,2,1,1,1,1,0,2,0,0,0,0,3,1,0,3,54,2
2,2,2,2,2,2,2,2,2,1,2,0,6,5,0,0,0,0,3,1,0,4,70,2
2,2,2,2,2,2,1,2,2,2,0,0,0,2,0,0,0,0,2,2,0,0,28,1
2,2,2,2,2,2,2,2,2,1,1,2,3,1,0,0,0,0,3,6,6,1,46,2
0,0,0,0,0,2,2,2,0,2,0,0,0,5,0,0,0,0,3,2,0,0,24,2
2,2,2,2,2,2,1,2,1,1,1,2,3,5,0,0,0,0,2,3,0,2,62,2
2,2,2,2,2,1,2,2,1,1,2,0,99,5,0,0,0,0,3,12,99,16,66,1
2,2,2,2,2,2,2,2,2,1,2,0,6,2,0,0,0,0,3,6,11,10,62,1
2,2,2,2,2,2,2,2,2,2,0,0,2,2,0,0,0,0,3,2,0,0,27,2
2,2,2,2,2,2,2,2,2,1,2,0,9,3,0,0,0,0,3,9,0,15,78,2
2,2,2,2,2,2,2,2,2,1,2,0,6,5,0,0,0,0,3,6,11,3,80,2
2,2,2,2,2,2,2,2,2,1,1,2,9,5,0,0,0,0,3,1,0,15,57,2
2,2,2,2,2,2,2,2,2,1,2,0,0,3,0,0,0,0,3,1,11,3,35,1
2,2,2,2,2,2,2,2,2,1,2,0,4,2,0,0,0,0,4,4,0,12,67,2
2,2,2,2,2,2,2,2,1,1,2,0,11,5,0,0,0,0,3,1,11,0,68,2
2,2,2,1,2,2,2,2,2,1,1,2,12,5,0,0,0,0,3,1,0,2,49,1
2,2,2,2,2,2,2,2,1,1,2,0,12,5,0,0,0,0,3,1,0,20,63,1
2,2,2,2,2,2,2,2,2,1,2,0,0,5,0,0,0,0,4,2,0,10,48,2
2,2,2,2,1,2,2,2,1,1,1,1,0,1,0,0,0,0,4,3,0,8,46,2
2,2,2,2,2,2,2,2,2,1,2,0,12,5,0,0,0,0,3,1,99,5,75,2
2,2,2,2,2,2,2,2,2,1,2,0,3,5,0,0,0,0,4,3,0,6,67,1
2,2,2,2,2,1,2,2,2,2,0,0,0,5,0,0,0,0,1,1,0,0,64,2
2,2,2,2,2,2,2,2,1,1,2,0,11,5,0,0,0,0,3,11,0,7,68,2
2,2,2,2,2,2,2,2,2,2,0,0,0,5,0,0,0,0,4,5,0,0,45,2
2,2,2,2,2,2,2,2,2,1,2,0,0,1,0,0,0,0,2,1,0,3,56,2
2,2,2,1,2,2,2,2,1,1,1,2,3,1,2,0,0,0,1,1,0,5,43,2
2,2,2,2,2,2,2,2,1,1,1,2,3,1,0,0,0,0,3,1,6,9,53,1
2,2,2,2,2,2,2,2,1,1,2,0,12,5,0,0,0,0,3,1,0,10,50,2
2,2,2,2,2,2,2,2,2,1,1,4,0,5,0,0,0,0,5,0,1,1,48,1
2,2,2,2,2,1,2,2,1,1,2,0,12,1,0,0,0,0,3,12,0,32,56,2
2,2,2,2,2,2,1,2,2,1,2,0,12,1,2,0,0,0,3,12,11,2,63,1
2,2,2,2,2,2,2,2,2,1,2,0,11,5,0,0,0,0,4,3,11,6,76,2
2,2,2,2,2,2,2,2,1,1,1,3,2,5,0,0,0,0,4,4,0,1,53,2
2,2,2,2,2,2,2,2,2,1,1,2,0,3,0,0,0,0,3,1,0,10,54,2
2,2,2,2,2,2,2,2,2,1,1,1,3,5,0,0,0,0,4,3,11,13,62,2
2,2,2,2,2,2,2,2,2,1,1,1,6,2,0,0,0,0,3,6,11,0,35,1
2,2,2,2,2,2,2,2,2,1,2,0,3,5,0,0,0,0,4,4,0,12,57,1
2,2,2,2,2,2,2,2,2,2,0,0,99,5,0,0,0,0,4,3,0,0,76,2
2,2,2,2,2,2,2,2,2,1,1,1,11,5,0,0,0,0,3,1,11,2,63,2
1,2,2,1,1,2,2,2,2,1,1,1,15,5,0,0,0,0,2,2,3,0,31,2
2,2,2,2,2,2,2,2,2,1,1,2,0,5,0,0,0,0,4,3,0,13,74,2
2,2,2,2,2,2,2,2,2,1,2,0,3,1,2,0,0,0,3,1,0,6,63,2
2,2,2,2,2,2,2,2,2,1,1,1,0,5,0,0,0,0,5,0,0,2,48,1
2,2,2,2,2,2,2,2,2,1,2,0,3,1,2,3,0,0,2,2,0,15,41,1
0,0,0,0,0,2,2,2,0,2,0,0,0,5,0,0,0,0,4,2,0,0,36,2
2,2,2,2,2,2,2,2,1,1,2,0,5,1,3,0,0,0,2,1,3,0,66,2
